,price,location,baths,bedrooms,Total_Area
3547,315.0,G-10,5,5,29675.359
3549,107.0,Kuri Road,3,3,2178.008
3551,65.0,Bhara kahu,2,3,1361.255
3553,80.0,Ghauri Town,0,0,1361.255
3554,85.0,Shaheen Town,4,3,9801.036
3556,65.0,PAEC Employees Cooperative Housing Society,4,2,1905.757
3557,110.0,Kuri Road,3,3,2178.008
3558,175.0,B-17,3,3,5445.0
3559,225.0,G-10,5,4,1361.255
3560,110.0,Shaheen Town,6,6,1905.757
3561,120.0,CBR Town,5,5,1905.757
3562,21.0,Ali Pur,3,3,816.7529999999999
3563,395.0,DHA Defence,6,5,5445.0
3564,295.0,E-11,0,5,2178.008
3565,140.0,G-13,5,4,11979.043999999998
3566,38.0,Taramrri,5,4,816.7529999999999
3874,130.0,G-13,5,5,11979.043999999998
3875,1700.0,F-7,6,5,114345.0
3876,425.0,Bahria Town,7,6,5445.0
3877,430.0,Bahria Town,7,6,5445.0
3878,420.0,Bahria Town,7,6,5445.0
3879,225.0,Bahria Town,6,5,2722.51
3880,380.0,Bahria Town,6,5,5445.0
3881,625.0,Bani Gala,6,4,179685.0
3882,85.0,Ghauri Town,0,0,1089.004
3883,140.0,F-10,0,0,9801.036
3885,450.0,DHA Defence,6,5,5445.0
3887,650.0,F-10,6,6,5445.0
3888,850.0,F-10,6,6,5445.0
3889,650.0,F-10,5,5,5445.0
3890,850.0,F-10,6,6,65340.0
3892,400.0,H-13,8,8,98010.0
3894,800.0,F-11,7,7,5445.0
3895,325.0,G-13,9,8,2722.51
3896,2000.0,F-8,9,8,70785.0
3897,650.0,I-8,0,0,3267.012
3899,85.0,Chatha Bakhtawar,3,2,1361.255
3901,115.0,Korang Town,5,4,1633.506
3902,55.0,Lehtarar Road,0,0,1361.255
3905,130.0,D-17,3,2,2994.7609999999995
3906,45.0,Islamabad Expressway,6,6,816.7529999999999
3907,425.0,G-10,7,7,3811.514
3908,295.0,F-17,8,7,5445.0
3909,48.0,Ghauri Town,3,2,1361.255
3910,295.0,E-18,3,5,136125.0
3911,185.0,Soan Garden,0,0,41926.654
4201,245.0,G-11,5,4,2178.008
4203,275.0,I-10,5,8,25319.343
4204,42.0,Jhang Syedan,3,3,1361.255
4205,260.0,Bahria Town,8,6,5445.0
4206,130.0,Korang Town,4,5,1905.757
4207,76.0,Bhara kahu,4,3,1905.757
4208,230.0,G-8,4,5,1361.255
4209,335.0,Bahria Town,4,3,70785.0
4210,2600.0,F-6,8,8,10890.0
4211,460.0,Bahria Town,9,7,59895.0
4212,1100.0,F-11,9,0,5445.0
4213,88.0,Shaheen Town,6,4,1361.255
4214,75.0,Shaheen Town,3,2,2178.008
4215,70.0,Lehtarar Road,6,4,1361.255
4216,1400.0,F-7,5,4,70785.0
4218,95.0,Bhara kahu,4,4,1633.506
4220,320.0,G-13,8,7,2722.51
4221,195.0,Golra Mor,6,6,2722.51
4222,57.0,Taramrri,4,4,816.7529999999999
4223,115.0,H-13,6,6,1361.255
4224,210.0,G-14,0,0,2722.51
4225,65.0,G-12,6,11,2722.51
4226,85.0,Shahpur,3,3,2722.51
4227,55.0,Ghauri Town,0,0,1361.255
4229,142.0,Soan Garden,7,7,2722.51
4231,71.0,FECHS,3,2,1905.757
4526,150.0,Bani Gala,0,0,5445.0
4527,85.0,Bani Gala,4,4,1633.506
4529,250.0,Spring Valley,5,5,10890.0
4530,350.0,Emaar Canyon Views,6,5,76230.0
4531,525.0,Naval Anchorage,0,7,5445.0
4532,73.0,D-17,4,4,1089.004
4533,45.0,DHA Defence,0,0,1361.255
4534,190.0,Zaraj Housing Scheme,0,6,2722.51
4538,180.0,National Police Foundation,6,6,2722.51
4540,825.0,F-10,6,6,59895.0
4542,680.0,F-11,5,6,5445.0
4545,100.0,Multi Residencia & Orchards,4,4,1905.757
4546,140.0,Bahria Town,3,3,1361.255
4547,75.0,Gulshan-e-Khudadad,3,3,15246.056
4548,60.0,Jhangi Syedan,4,4,1361.255
4550,575.0,F-11,9,7,4356.016
4551,70.0,Ghauri Town,6,6,1089.004
4552,300.0,National Police Foundation,6,6,5445.0
4553,45.0,Bhara kahu,3,2,1633.506
4554,50.0,Burma Town,3,2,1633.506
4555,105.0,Soan Garden,4,3,2994.7609999999995
4557,170.0,G-13,0,5,1089.004
4559,140.0,Bahria Town,3,3,1361.255
4563,140.0,D-17,5,4,1633.506
4564,425.0,DHA Defence,6,6,5445.0
4566,135.0,Bahria Town,3,3,1905.757
4567,165.0,G-15,6,6,1905.757
4568,280.0,E-11,9,6,18240.817
4880,425.0,Bahria Town,7,5,5445.0
4881,180.0,Chak Shahzad,4,4,25319.343
4882,350.0,G-15,8,6,2722.51
4883,85.0,PWD Road,4,3,1361.255
4884,450.0,DHA Defence,9,7,5445.0
4888,450.0,DHA Defence,9,7,10890.0
4890,400.0,G-9,4,4,38659.642
4892,107.0,Kuri Road,3,3,2178.008
4893,150.0,G-11,2,3,9801.036
4896,300.0,Bahria Town,6,6,2722.51
4897,185.0,Pakistan Town,10,9,2450.259
4898,375.0,Korang Town,7,6,5445.0
4899,93.0,H-13,4,4,1361.255
